TAS7x00 Report File,,,,,,,
Report Date Time:,2018/11/08 21:19:08 GMT +08:00,,,,,,
,,,,,,,
34,0.4653931,1.921811,,,,,
35,0.4730225,1.82862,,,,,
36,0.4806519,1.801756,,,,,
37,0.4882812,2.258542,,,,,
38,0.4959106,2.605854,,,,,
39,0.50354,2.754254,,,,,
40,0.5111694,2.417204,,,,,
41,0.5187988,2.317379,,,,,
42,0.5264282,2.120452,,,,,
43,0.5340576,2.195018,,,,,
44,0.541687,2.377941,,,,,
45,0.5493164,2.870779,,,,,
46,0.5569458,2.93247,,,,,
47,0.5645752,2.770943,,,,,
48,0.5722046,2.621629,,,,,
49,0.579834,2.527242,,,,,
50,0.5874634,2.592695,,,,,
51,0.5950928,2.826431,,,,,
52,0.6027222,3.224547,,,,,
53,0.6103516,3.211232,,,,,
54,0.617981,3.000224,,,,,
55,0.6256104,2.921472,,,,,
56,0.6332397,2.874854,,,,,
57,0.6408691,2.900155,,,,,
58,0.6484985,3.147235,,,,,
59,0.6561279,3.261416,,,,,
60,0.6637573,3.499991,,,,,
61,0.6713867,3.44243,,,,,
62,0.6790161,3.373139,,,,,
63,0.6866455,3.306004,,,,,
64,0.6942749,3.365241,,,,,
65,0.7019043,3.664896,,,,,
66,0.7095337,3.80461,,,,,
67,0.7171631,3.965386,,,,,
68,0.7247925,3.714818,,,,,
69,0.7324219,3.76118,,,,,
70,0.7400513,3.797148,,,,,
71,0.7476807,3.811603,,,,,
72,0.7553101,4.22137,,,,,
73,0.7629395,4.305765,,,,,
74,0.7705688,4.128241,,,,,
75,0.7781982,4.367558,,,,,
76,0.7858276,4.14573,,,,,
77,0.793457,4.21427,,,,,
78,0.8010864,4.102438,,,,,
79,0.8087158,4.494971,,,,,
80,0.8163452,4.610636,,,,,
81,0.8239746,4.682114,,,,,
82,0.831604,4.569912,,,,,
83,0.8392334,4.589806,,,,,
84,0.8468628,4.548941,,,,,
85,0.8544922,4.854793,,,,,
86,0.8621216,4.836937,,,,,
87,0.869751,5.022031,,,,,
88,0.8773804,5.22995,,,,,
89,0.8850098,5.218441,,,,,
90,0.8926392,5.069123,,,,,
91,0.9002686,5.099358,,,,,
92,0.9078979,5.019971,,,,,
93,0.9155273,5.508078,,,,,
94,0.9231567,5.463499,,,,,
95,0.9307861,5.742851,,,,,
96,0.9384155,5.592352,,,,,
97,0.9460449,5.694372,,,,,
98,0.9536743,5.638703,,,,,
99,0.9613037,5.684527,,,,,
100,0.9689331,5.915205,,,,,
101,0.9765625,6.052503,,,,,
102,0.9841919,6.054149,,,,,
103,0.9918213,6.210944,,,,,
104,0.9994507,6.208309,,,,,
105,1.00708,6.178517,,,,,
106,1.014709,6.239065,,,,,
107,1.022339,6.277032,,,,,
108,1.029968,6.364683,,,,,
109,1.037598,6.618735,,,,,
110,1.045227,6.430384,,,,,
111,1.052856,6.631809,,,,,
112,1.060486,6.643136,,,,,
113,1.068115,6.650835,,,,,
114,1.075745,6.645177,,,,,
115,1.083374,6.738148,,,,,
116,1.091003,6.845541,,,,,
117,1.098633,7.470268,,,,,
118,1.106262,7.187402,,,,,
119,1.113892,7.496392,,,,,
120,1.121521,7.359469,,,,,
121,1.12915,7.455573,,,,,
122,1.13678,7.704463,,,,,
123,1.144409,7.69523,,,,,
124,1.152039,7.549511,,,,,
125,1.159668,8.028614,,,,,
126,1.167297,8.009216,,,,,
127,1.174927,8.062762,,,,,
128,1.182556,8.159418,,,,,
129,1.190186,8.142933,,,,,
130,1.197815,8.054642,,,,,
131,1.205444,8.388875,,,,,
132,1.213074,8.276232,,,,,
133,1.220703,8.418992,,,,,
134,1.228333,8.743196,,,,,
135,1.235962,8.598228,,,,,
136,1.243591,8.561088,,,,,
137,1.251221,9.187022,,,,,
138,1.25885,8.585303,,,,,
139,1.266479,8.895019,,,,,
140,1.274109,8.979905,,,,,
141,1.281738,9.28266,,,,,
142,1.289368,9.070292,,,,,
143,1.296997,9.663528,,,,,
144,1.304626,9.41767,,,,,
145,1.312256,9.589972,,,,,
146,1.319885,9.873689,,,,,
147,1.327515,9.535026,,,,,
148,1.335144,9.799784,,,,,
149,1.342773,9.855025,,,,,
150,1.350403,10.08478,,,,,
151,1.358032,10.02648,,,,,
152,1.365662,10.18107,,,,,
153,1.373291,10.30099,,,,,
154,1.38092,9.940148,,,,,
155,1.38855,10.35721,,,,,
156,1.396179,10.39892,,,,,
157,1.403809,10.53055,,,,,
158,1.411438,11.06066,,,,,
159,1.419067,10.65597,,,,,
160,1.426697,10.84966,,,,,
161,1.434326,10.58173,,,,,
162,1.441956,11.10728,,,,,
163,1.449585,10.51336,,,,,
164,1.457214,11.09816,,,,,
165,1.464844,11.43417,,,,,
166,1.472473,11.62484,,,,,
167,1.480103,11.25952,,,,,
168,1.487732,11.35769,,,,,
169,1.495361,11.74646,,,,,
170,1.502991,11.46145,,,,,
171,1.51062,11.62987,,,,,
172,1.51825,11.98884,,,,,
173,1.525879,12.35376,,,,,
174,1.533508,11.97796,,,,,
175,1.541138,12.91951,,,,,
176,1.548767,12.24596,,,,,
177,1.556396,12.09069,,,,,
178,1.564026,12.39997,,,,,
179,1.571655,12.86353,,,,,
180,1.579285,13.44721,,,,,
181,1.586914,12.76326,,,,,
182,1.594543,13.87869,,,,,
183,1.602173,12.87965,,,,,
184,1.609802,13.39474,,,,,
185,1.617432,14.01465,,,,,
186,1.625061,13.58043,,,,,
187,1.63269,13.08994,,,,,
188,1.64032,13.22874,,,,,
189,1.647949,13.05558,,,,,
190,1.655579,13.8113,,,,,
191,1.663208,14.61676,,,,,
192,1.670837,13.84312,,,,,
193,1.678467,14.67561,,,,,
194,1.686096,15.35271,,,,,
195,1.693726,14.07329,,,,,
196,1.701355,14.67367,,,,,
197,1.708984,13.68055,,,,,
198,1.716614,16.12604,,,,,
199,1.724243,14.5897,,,,,
200,1.731873,15.36912,,,,,
201,1.739502,15.69894,,,,,
202,1.747131,15.32754,,,,,
203,1.754761,16.58953,,,,,
204,1.76239,16.76016,,,,,
205,1.77002,17.11368,,,,,
206,1.777649,16.28384,,,,,
207,1.785278,16.2622,,,,,
208,1.792908,16.63111,,,,,
209,1.800537,15.7826,,,,,
210,1.808167,15.14792,,,,,
211,1.815796,16.0158,,,,,
