TAS7x00 Report File,,,,,,,
51,0.102,5.92E-05,7.64E-05,,,,
52,0.104,5.58E-05,5.66E-05,,,,
53,0.106,-2.84E-06,4.02E-05,,,,
54,0.108,-3.57E-05,3.85E-05,,,,
55,0.11,-6.05E-05,3.28E-05,,,,
56,0.112,-8.77E-05,5.21E-05,,,,
57,0.114,-0.000117279,-1.54E-05,,,,
58,0.116,-0.000112987,-1.32E-05,,,,
59,0.118,-0.000138259,-4.92E-05,,,,
60,0.12,-0.000142074,-6.38E-05,,,,
61,0.122,-0.000123954,-8.93E-05,,,,
62,0.124,-0.00010202,-6.00E-05,,,,
63,0.126,-6.34E-05,-8.98E-05,,,,
64,0.128,-0.00011108,-8.33E-05,,,,
65,0.13,-0.000141597,-0.000101443,,,,
66,0.132,-8.53E-05,-6.90E-05,,,,
67,0.134,-0.000104881,-9.05E-05,,,,
68,0.136,-0.000114418,-9.05E-05,,,,
69,0.138,-0.000115848,-0.000125285,,,,
70,0.14,-0.000157333,-0.000146981,,,,
71,0.142,-0.000173545,-0.000154372,,,,
72,0.144,-0.000200725,-0.000195618,,,,
73,0.146,-0.000188804,-0.000206109,,,,
74,0.148,-0.000203109,-0.000212546,,,,
75,0.15,-0.00021503,-0.00023758,,,,
76,0.152,-0.000161148,-0.000249739,,,,
77,0.154,-0.00018642,-0.000257845,,,,
78,0.156,-0.000154472,-0.000277396,,,,
79,0.158,-0.000106788,-0.000266428,,,,
80,0.16,-0.000104881,-0.000296469,,,,
81,0.162,-4.24E-05,-0.000270482,,,,
82,0.164,-5.53E-05,-0.00026166,,,,
83,0.166,4.31E-06,-0.000274535,,,,
84,0.168,7.06E-05,-0.000262137,,,,
85,0.17,7.35E-05,-0.000255461,,,,
86,0.172,9.87E-05,-0.000271912,,,,
87,0.174,0.000126385,-0.000298138,,,,
88,0.176,0.000133538,-0.00026619,,,,
89,0.178,0.000197911,-0.000253554,,,,
90,0.18,0.000210785,-0.000296708,,,,
91,0.182,0.000273251,-0.000321265,,,,
92,0.184,0.000276112,-0.000324364,,,,
93,0.186,0.000320935,-0.000330563,,,,
94,0.188,0.000333809,-0.00031745,,,,
95,0.19,0.000283265,-0.000326033,,,,
96,0.192,0.000293755,-0.000341292,,,,
97,0.194,0.000257515,-0.000308867,,,,
98,0.196,0.000234627,-0.000325079,,,,
99,0.198,0.000259423,-0.000304814,,,,
100,0.2,0.000269913,-0.000294562,,,,
101,0.202,0.000282311,-0.000258322,,,,
102,0.204,0.000343346,-0.000219222,,,,
103,0.206,0.000305199,-0.000184412,,,,
